doi
10.3390/s19071619
10.3390/su8090895
10.3989/ris.2013.i1.505
10.1007/s004390050363
10.4000/studifrancesi.30097
10.17576/geo-2019-1502-09
10.4055/cios.2014.6.1.62
10.22203/ecm.v006a02
10.1253/circj.cj-17-1281
10.22201/fq.18708404e.2018.4.64701
10.1590/s0103-90162013000500006
10.22201/fq.18708404e.2018.4.65745
10.22201/ia.01851101p.2019.55.01.02
10.22201/ia.14052059p.2019.51.06
10.3389/fnins.2021.652552
10.22201/ib.20078706e.2008.002.563
10.5771/9783748909620
10.1103/physrevstab.6.114801
10.22201/ib.9786070271854e2015
10.22201/ie.20074484e.1997.2.1.115
10.1103/physrevlett.104.184502
10.22201/ie.20074484e.1997.2.1.117
10.1016/j.aspen.2020.10.009
10.1002/bjs.1800570627
10.1016/j.jeconom.2010.03.007
10.1007/s41970-018-0045-2
10.1051/0004-6361/201220248
10.1051/0004-6361/201220256
10.22201/ie.20074484e.1997.2.1.119
10.1128/aem.01914-12
10.21203/rs.3.rs-198787/v1
10.1128/aem.01931-07
10.1128/aem.01943-08
10.1128/aem.01945-06
10.1128/aem.01954-12
10.1128/ec.05184-11
10.1128/genomea.00376-14
10.1128/genomea.01005-13
10.1051/0004-6361/201321695
10.1088/0004-637x/804/2/117
10.1515/ahr-2016-0012
10.15381/rivep.v30i1.15673
10.7202/016182ar
10.22201/ie.20074484e.1997.2.1.75
10.1128/genomea.01019-15
10.4000/studifrancesi.32957
10.1128/genomea.01542-17
10.1590/s0102-79722001000200009
10.3390/s16020266
10.1093/molbev/msaa311
10.3989/egeol.91473-4419
10.1371/journal.pone.0248369
10.1111/1759-7714.13706
10.4102/aveh.v70i4.117
10.1016/j.tet.2013.06.052
10.4000/studifrancesi.29881
10.4000/studifrancesi.30267
10.22201/ie.20074484e.1998.3.1.59
10.5040/9781350032675.ch-013
10.1007/s10489-021-02291-9
10.22201/ie.20074484e.1998.3.1.67
10.1016/j.envpol.2019.112976
10.1126/science.aau8461
10.1016/j.respe.2019.08.002
10.22201/ie.20074484e.1999.4.1.77
10.1128/aac.01818-09
10.21236/ada400633
10.1093/sleep/zsaa030
10.1021/la903052t
10.4000/studifrancesi.30251
10.1016/j.foodres.2019.108737
10.22260/isarc2016/0120
10.1128/jb.00791-15
10.22260/isarc2017/0001
10.46743/2160-3715/2018.2934
10.1128/jb.00798-10
10.1128/jb.00801-10
10.4000/studifrancesi.30438
10.1128/jb.00838-08
10.22260/isarc2017/0009
